ORIGIN,DEST,ORIGIN_DEGREE,DEST_DEGREE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DEP_DELAY,DEP_TIME_NIGHT,DEP_TIME_TWILIGHT,DEP_TIME_MORNING,DEP_TIME_NOON,DEP_TIME_AFTERNOON,DEP_TIME_EVENING,CARRIER_AA,CARRIER_AS,CARRIER_B6,CARRIER_DL,CARRIER_EV,CARRIER_F9,CARRIER_HA,CARRIER_NK,CARRIER_OO,CARRIER_UA,CARRIER_VX,CARRIER_WN,MEDIAN_ARR_DELAY,MEAN_ARR_DELAY,Q1_ARR_DELAY,Q3_ARR_DELAY,Q0_ARR_DELAY,Q95_ARR_DELAY,MEDIAN_CARRIER_DELAY,MEAN_CARRIER_DELAY,Q1_CARRIER_DELAY,Q3_CARRIER_DELAY,Q0_CARRIER_DELAY,Q95_CARRIER_DELAY,MEDIAN_WEATHER_DELAY,MEAN_WEATHER_DELAY,Q1_WEATHER_DELAY,Q3_WEATHER_DELAY,Q0_WEATHER_DELAY,Q95_WEATHER_DELAY,MEDIAN_NAS_DELAY,MEAN_NAS_DELAY,Q1_NAS_DELAY,Q3_NAS_DELAY,Q0_NAS_DELAY,Q95_NAS_DELAY,MEDIAN_SECURITY_DELAY,MEAN_SECURITY_DELAY,Q1_SECURITY_DELAY,Q3_SECURITY_DELAY,Q0_SECURITY_DELAY,Q95_SECURITY_DELAY,MEDIAN_LATE_AIRCRAFT_DELAY,MEAN_LATE_AIRCRAFT_DELAY,Q1_LATE_AIRCRAFT_DELAY,Q3_LATE_AIRCRAFT_DELAY,Q0_LATE_AIRCRAFT_DELAY,Q95_LATE_AIRCRAFT_DELAY,MEDIAN_DEP_DELAY,MEAN_DEP_DELAY,Q1_DEP_DELAY,Q3_DEP_DELAY,Q0_DEP_DELAY,Q95_DEP_DELAY
PBI,BWI,17131,79861,0.0,0.0,0.0,0.0,0.0,-6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-8.0,-11.333333333333334,-14.5,-6.5,-19.700000000000003,-5.300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.333333333333333,-7.0,-5.5,-7.800000000000001,-5.1000000000000005
DTW,AVP,98159,1453,0.0,0.0,0.0,0.0,0.0,-5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-10.0,-6.333333333333333,-10.0,-4.5,-10.0,-0.10000000000000098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-4.5,-3.5,-4.9,-3.1
LAS,AUS,120446,33402,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5.0,3.0,-7.0,5.0,-7.0,24.19999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,1.75,0.0,5.9499999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,5.5,0.0,18.699999999999992,0.0,5.0,-0.5,5.5,-1.7,18.699999999999992
DFW,MOB,67470,3481,0.0,0.0,0.0,0.0,0.0,-5.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
SAN,SLC,60051,88398,0.0,0.0,0.0,0.0,0.0,-4.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.0,-4.0,-8.75,0.0,-11.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.5,-4.75,-2.0,-6.5,-1.25
IAH,BTR,99268,5697,0.0,0.0,0.0,0.0,0.0,13.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.5,9.333333333333334,-6.25,27.25,-12.25,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333,0.0,0.0,0.0,33.0,0.0,6.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,9.0,-4.5,10.25,-5.0,42.25
BWI,STL,79861,43005,0.0,0.0,0.0,0.0,0.0,-2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-15.0,-2.0,-19.0,2.0,-21.4,35.59999999999998,0.0,3.0,0.0,3.0,0.0,10.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.6999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,7.5,0.0,25.49999999999999,-2.0,9.0,-2.0,9.0,-2.0,35.39999999999999
ORD,SPI,150532,1178,0.0,0.0,0.0,0.0,0.0,-4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-3.5,-3.5,-9.75,2.75,-14.75,7.749999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.5,-2.5,-3.9,-2.1
EWR,MIA,76557,17748,0.0,0.0,0.0,0.0,0.0,-3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-10.0,-9.285714285714286,-16.5,-1.5,-22.5,4.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.857142857142857,-3.5,-2.0,-6.1,-0.6000000000000014
ORF,ATL,8246,322097,0.0,0.0,0.0,0.0,0.0,-4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-15.0,-8.857142857142858,-15.5,-8.0,-17.4,11.699999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5714285714285716,0.0,0.0,0.0,12.599999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.42857142857142855,-3.5,2.5,-5.3999999999999995,10.999999999999993
ORD,FSD,150532,3384,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8.0,-4.333333333333333,-9.0,-1.5,-9.8,3.6999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.3333333333333333,-1.5,1.5,-3.5,1.9
FLL,CVG,59958,12692,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
RSW,CLT,19440,74006,0.0,0.0,0.0,0.0,0.0,-3.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-7.5,-3.5,-10.75,-0.25,-14.95,13.549999999999992,0.0,4.25,0.0,4.25,0.0,14.449999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,2.25,-3.0,2.75,-3.0,14.149999999999993
RIC,DFW,10915,67470,0.0,0.0,0.0,0.0,0.0,-5.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.0,19.0,3.0,35.0,-9.799999999999999,47.8,3.0,3.0,1.5,4.5,0.30000000000000004,5.699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,22.5,22.5,11.25,33.75,2.25,42.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-2.25,3.25,-4.45,5.449999999999999
STL,AUS,43005,33402,16.0,0.0,0.0,0.0,0.0,18.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.0,21.0,11.5,28.0,7.9,37.6,8.0,8.0,4.0,12.0,0.8,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,0.0,16.0,0.0,28.799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.333333333333334,5.0,13.0,2.6,17.0
PDX,STL,43638,43005,0.0,0.0,0.0,0.0,0.0,-6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-6.0,-2.0,-8.5,2.5,-10.5,9.299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.333333333333333,-5.0,-3.5,-5.800000000000001,-3.1
DFW,MCO,67470,89682,0.0,23.0,0.0,0.0,0.0,24.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.0,5.666666666666667,-3.0,13.0,-7.8,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,0.0,11.5,0.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,3.0,16.5,-1.8000000000000003,22.5
ATL,PNS,322097,4592,0.0,0.0,0.0,0.0,36.0,53.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.5,1.75,-6.25,1.5,-10.25,25.499999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,23.39999999999998,-2.5,4.125,-4.0,-1.25,-5.3,34.799999999999976
ISP,FLL,4233,59958,0.0,0.0,0.0,0.0,0.0,-6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.0,-2.0,-3.0,-1.0,-3.8,-0.20000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,-3.5,-4.75,-2.25,-5.749999999999999,-1.2500000000000002
PDX,SJC,43638,32808,0.0,0.0,0.0,0.0,0.0,-4.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2.5,1.1666666666666667,-5.5,3.5,-9.75,19.25,0.0,1.6666666666666667,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,10.5,0.5,3.6666666666666665,-4.0,5.0,-4.75,20.0
SAT,DAL,22709,57648,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.0,-3.111111111111111,-5.0,0.0,-9.0,1.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.5555555555555556,-4.0,0.0,-5.0,3.5999999999999996
MCO,RDU,89682,25897,0.0,0.0,0.0,0.0,0.0,-5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4.5,-4.25,-10.75,2.0,-12.549999999999999,4.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,-0.25,-3.5,0.75,-4.7,7.349999999999996
MKE,IAH,25784,99268,0.0,0.0,0.0,0.0,0.0,-6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
SLC,CLT,88398,74006,0.0,0.0,0.0,0.0,0.0,-3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-25.0,-25.0,-25.0,-25.0,-25.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
LAS,IND,120446,20910,47.0,0.0,0.0,0.0,0.0,50.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,18.8,-2.0,47.0,-8.4,48.599999999999994,0.0,19.2,0.0,47.0,0.0,48.599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.6,-1.0,50.0,-4.2,54.8
GRB,ATL,3057,322097,0.0,0.0,0.0,0.0,0.0,-5.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-15.0,-15.0,-18.0,-12.0,-20.4,-9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-4.0,-2.0,-4.8,-1.2000000000000002
HPN,MCO,5265,89682,0.0,0.0,20.0,0.0,0.0,-1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.0,10.0,3.5,17.5,-4.299999999999999,24.199999999999996,0.0,1.0,0.0,0.0,0.0,4.899999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.714285714285714,0.0,17.0,0.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.142857142857143,-4.0,10.0,-7.0,15.799999999999997
HOB,IAH,380,99268,0.0,0.0,22.0,0.0,0.0,-8.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.0,22.0,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
DEN,CVG,168003,12692,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.0,16.0,-5.0,32.5,-14.600000000000001,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.333333333333332,0.0,29.0,0.0,52.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,17.333333333333332,-3.0,28.5,-4.6,52.099999999999994
MSP,SBN,106716,3795,0.0,0.0,0.0,0.0,0.0,-3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
BOS,JFK,82073,58709,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-10.5,-7.5,-14.0,-6.0,-18.5,12.75,0.0,0.1875,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.125,0.0,0.0,0.0,4.5,0.0,2.0,-4.5,3.0,-6.25,22.5
ICT,MSP,6143,106716,0.0,0.0,0.0,0.0,0.0,-4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.0,9.4,-1.0,1.0,-3.4000000000000004,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,41.599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-3.6,-5.0,-3.0,-5.0,-1.4000000000000004
MIA,CLT,17748,74006,0.0,0.0,0.0,0.0,0.0,11.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,-1.3333333333333333,-5.5,2.0,-10.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.25,10.75,-5.25,17.75
PHX,MKE,115923,25784,0.0,0.0,0.0,0.0,0.0,-4.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-8.0,-2.7142857142857144,-11.5,2.5,-15.5,17.999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,1.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.142857142857143,0.0,0.0,0.0,15.399999999999984,3.0,3.5714285714285716,-3.0,5.5,-4.7,17.79999999999999
FLL,ORD,59958,150532,0.0,0.0,0.0,0.0,0.0,9.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-1.0,-2.0,-3.0,1.0,-17.400000000000002,11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.2,-2.0,2.0,-6.000000000000001,7.599999999999999
BWI,BDL,79861,15212,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,4.0,-2.0,6.75,-5.449999999999999,18.599999999999994,0.0,2.5,0.0,0.0,0.0,14.199999999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,3.5999999999999943,2.5,7.916666666666667,0.75,16.75,-1.9,24.9
BOS,MCI,82073,34569,0.0,0.0,0.0,0.0,0.0,-3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4.5,-4.333333333333333,-7.5,-0.75,-11.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.6666666666666665,-1.0,6.5,-2.5,12.0
GEG,LAS,8303,120446,0.0,0.0,0.0,0.0,0.0,-3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-11.0,-11.0,-12.5,-9.5,-13.7,-8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-4.5,-3.5,-4.9,-3.0999999999999996
CID,DEN,3493,168003,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,-2.0,2.0,-3.5999999999999996,3.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-3.0,1.0,-4.6,2.5999999999999996
CLT,LAX,74006,152781,0.0,0.0,0.0,0.0,0.0,-5.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-6.0,-4.333333333333333,-12.5,-0.25,-13.75,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-0.3333333333333333,-4.25,-1.25,-5.0,9.5
MCO,IND,89682,20910,0.0,0.0,0.0,0.0,0.0,-4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-11.0,-6.5,-15.75,2.75,-19.299999999999997,11.899999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.375,-3.25,8.0,-4.6499999999999995,9.95
ATL,PBI,322097,17131,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-8.0,-7.1875,-16.25,-2.75,-20.75,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,1.5,-1.0,2.6875,-2.0,3.25,-4.25,26.0
SBN,DTW,3795,98159,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-13.0,-3.8,-14.0,-2.0,-16.400000000000002,21.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,15.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,5.599999999999999,-1.0,-0.2,-2.0,1.0,-5.200000000000001,5.799999999999999
MSP,ATL,106716,322097,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-8.0,-5.285714285714286,-12.75,0.0,-18.4,14.09999999999999,0.0,0.5,0.0,0.0,0.0,2.4499999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,8.399999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.6428571428571429,-2.0,1.5,-4.35,10.499999999999996
PWM,EWR,4107,76557,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,6.333333333333333,-3.5,15.0,-9.5,23.799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.666666666666666,0.0,13.0,0.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,-3.0,23.0,-6.2,40.599999999999994
BOI,SLC,12310,88398,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-8.5,-9.125,-14.75,-5.25,-18.299999999999997,0.6499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-3.75,-5.25,-1.75,-6.649999999999999,-1.0
PHL,MCI,45880,34569,0.0,0.0,0.0,0.0,0.0,-4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
SJC,SAN,32808,60051,0.0,0.0,0.0,0.0,0.0,-4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5.0,-1.6923076923076923,-11.0,2.0,-12.6,22.0,0.0,0.5384615384615384,0.0,0.0,0.0,2.999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,1.1999999999999957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6153846153846154,0.0,0.0,0.0,16.19999999999999,-3.0,2.3846153846153846,-4.0,5.0,-5.6,21.79999999999999
IAH,IAD,99268,24848,0.0,0.0,0.0,0.0,0.0,-3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-7.0,-4.0,-12.25,0.5,-18.5,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,5.5,-3.0,5.75,-3.0,26.5
