ORIGIN,DEST,ORIGIN_DEGREE,DEST_DEGREE,CARRIER_AA,CARRIER_AS,CARRIER_B6,CARRIER_DL,CARRIER_EV,CARRIER_F9,CARRIER_HA,CARRIER_NK,CARRIER_OO,CARRIER_UA,CARRIER_VX,CARRIER_WN,DEP_TIME_NIGHT,DEP_TIME_TWILIGHT,DEP_TIME_MORNING,DEP_TIME_NOON,DEP_TIME_AFTERNOON,DEP_TIME_EVENING
ORD,IAH,150532,99268,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
BOS,TPA,82073,50072,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LAX,IAH,152781,99268,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
MDW,PIT,79129,18607,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
AUS,ORD,33402,150532,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
DFW,TYS,67470,5042,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
MSP,SFO,106716,127129,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
SEA,LGB,99601,8995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BWI,DTW,79861,98159,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
DEN,SBA,168003,3756,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
PHX,SEA,115923,99601,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
DFW,ICT,67470,6143,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
CLT,RSW,74006,19440,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MSP,SFO,106716,127129,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ICT,MSP,6143,106716,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
DFW,ACT,67470,1247,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD,MIA,150532,17748,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ATL,MKE,322097,25784,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DEN,SLC,168003,88398,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
CLT,LAS,74006,120446,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ONT,LAS,15155,120446,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
PHL,SFO,45880,127129,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BOS,DCA,82073,51878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PSC,SFO,2861,127129,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
DEN,SBA,168003,3756,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PHX,YUM,115923,1205,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
MDW,DEN,79129,168003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
PHX,DEN,115923,168003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
MSP,BOI,106716,12310,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
MSP,LAS,106716,120446,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BDL,FLL,15212,59958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MCO,PHL,89682,45880,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HSV,ATL,3509,322097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ATL,ORD,322097,150532,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ATL,BTR,322097,5697,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
MSP,CLT,106716,74006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ATL,ILM,322097,1669,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MCI,DTW,34569,98159,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OMA,DEN,13645,168003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PDX,PHX,43638,115923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LGB,PDX,8995,43638,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MDW,SDF,79129,7932,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
IND,CLT,20910,74006,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EWR,HNL,76557,36100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
PHX,ELP,115923,8551,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
SFO,SAN,127129,60051,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
BDL,MCO,15212,89682,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IAH,SFO,99268,127129,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
DAL,SJC,57648,32808,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SMF,DEN,32727,168003,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
MKE,ATL,25784,322097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OMA,MDW,13645,79129,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
BUF,BWI,14581,79861,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
SEA,LAX,99601,152781,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANC,OTZ,10015,241,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EWR,PIT,76557,18607,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
GSO,ATL,4540,322097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LGA,MIA,57313,17748,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JAX,EWR,14089,76557,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
RNO,LAS,11105,120446,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
BWI,ABQ,79861,15237,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
DEN,IAD,168003,24848,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
DTW,GSP,98159,6025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
FLL,EWR,59958,76557,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BNA,MSP,42788,106716,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
GSP,ATL,6025,322097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DCA,ATL,51878,322097,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
DTW,MKE,98159,25784,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MSP,ICT,106716,6143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
LAS,DAL,120446,57648,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ATL,MIA,322097,17748,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PHL,BOS,45880,82073,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SLC,MSY,88398,33936,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
DTW,MCI,98159,34569,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD,CLE,150532,25087,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
DCA,DAL,51878,57648,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
DTW,MYR,98159,3795,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
LAX,LAS,152781,120446,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
DAL,HOU,57648,46467,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
ATL,IND,322097,20910,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
IAH,AUS,99268,33402,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ORD,SFO,150532,127129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
SAT,DAL,22709,57648,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
DEN,BUR,168003,20122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
DEN,OKC,168003,11634,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
STL,RSW,43005,19440,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
DEN,PDX,168003,43638,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SEA,PDX,99601,43638,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MSP,SEA,106716,99601,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ATL,BDL,322097,15212,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ATL,SEA,322097,99601,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ATL,TPA,322097,50072,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
ATL,BDL,322097,15212,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BNA,BWI,42788,79861,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
ISP,BWI,4233,79861,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
BWI,PWM,79861,4107,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
ATL,LAX,322097,152781,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
SEA,BOI,99601,12310,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
DFW,OAK,67470,42979,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
DEN,TUS,168003,10566,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
MSP,BRD,106716,552,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
FAT,SFO,5700,127129,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TUS,LAX,10566,152781,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
HNL,OGG,36100,17168,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LAX,CLE,152781,25087,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ATL,IAH,322097,99268,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ATL,DFW,322097,67470,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OAK,BOI,42979,12310,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
IAH,MLU,99268,1948,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD,SAT,150532,22709,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
SFO,PHX,127129,115923,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ORD,RSW,150532,19440,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
AUS,DAL,33402,57648,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
ATL,DFW,322097,67470,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IAD,ATL,24848,322097,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
SLC,BUR,88398,20122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
MSP,LNK,106716,2375,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
LAS,CLT,120446,74006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JMS,DVL,414,378,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ATL,EWR,322097,76557,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
SFO,SAN,127129,60051,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
LAS,RNO,120446,11105,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
BUF,MSP,14581,106716,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CID,ATL,3493,322097,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
PHX,CLT,115923,74006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CLT,DFW,74006,67470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HNL,KOA,36100,9290,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
PHX,OAK,115923,42979,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
EWR,AUS,76557,33402,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
ATL,TPA,322097,50072,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
PNS,ATL,4592,322097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BOS,EWR,82073,76557,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
DAL,ATL,57648,322097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ATL,DEN,322097,168003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
DEN,PIT,168003,18607,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
LGA,PBI,57313,17131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALB,BWI,8187,79861,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
FLL,TPA,59958,50072,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
DEN,ATL,168003,322097,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
FAT,SEA,5700,99601,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
PVD,ORD,9706,150532,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CVG,MCO,12692,89682,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SMF,ORD,32727,150532,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
MSP,MBS,106716,1500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
IAH,LAX,99268,152781,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
ESC,DTW,480,98159,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
TPA,IAH,50072,99268,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
OKC,BWI,11634,79861,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
LAS,OAK,120446,42979,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
DEN,MSY,168003,33936,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
CLT,ROC,74006,5143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ORD,SAN,150532,60051,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
LAX,LAS,152781,120446,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CLT,PBI,74006,17131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PHX,OAK,115923,42979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MHT,BWI,5501,79861,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
SEA,OAK,99601,42979,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DEN,ONT,168003,15155,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
DFW,LAX,67470,152781,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
