ORIGIN,DEST,UNIQUE_CARRIER,ORIGIN_DEGREE,DEST_DEGREE,ORIGIN_NAME,ORIGIN_CITY,ORIGIN_IATA,ORIGIN_STATE,DEST_NAME,DEST_CITY,DEST_IATA,DEST_STATE
LAS,MSY,WN,120446,33936,McCarran International Airport,Las Vegas,LAS,NV,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
LAS,MSY,NK,120446,33936,McCarran International Airport,Las Vegas,LAS,NV,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
DAL,MSY,WN,57648,33936,Dallas Love Field,Dallas,DAL,TX,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
HOU,MSY,WN,46467,33936,William P Hobby Airport,Houston,HOU,TX,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
SAN,MSY,WN,60051,33936,San Diego International Airport,San Diego,SAN,CA,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
SLC,MSY,OO,88398,33936,Salt Lake City International Airport,Salt Lake City,SLC,UT,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
SLC,MSY,DL,88398,33936,Salt Lake City International Airport,Salt Lake City,SLC,UT,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
BWI,MSY,WN,79861,33936,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,BWI,MD,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
AUS,MSY,WN,33402,33936,Austin Bergstrom International Airport,Austin,AUS,TX,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
SAT,MSY,WN,22709,33936,San Antonio International Airport,San Antonio,SAT,TX,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
LAX,ELP,WN,152781,8551,Los Angeles International Airport,Los Angeles,LAX,CA,El Paso International Airport,El Paso,ELP,TX
ATL,ELP,DL,322097,8551,Hartsfield Jackson Atlanta International Airport,Atlanta,ATL,GA,El Paso International Airport,El Paso,ELP,TX
IAH,ELP,EV,99268,8551,George Bush Intercontinental Houston Airport,Houston,IAH,TX,El Paso International Airport,El Paso,ELP,TX
DEN,ELP,OO,168003,8551,Denver International Airport,Denver,DEN,CO,El Paso International Airport,El Paso,ELP,TX
DFW,ELP,AA,67470,8551,Dallas Fort Worth International Airport,Dallas-Fort Worth,DFW,TX,El Paso International Airport,El Paso,ELP,TX
PHX,ELP,WN,115923,8551,Phoenix Sky Harbor International Airport,Phoenix,PHX,AZ,El Paso International Airport,El Paso,ELP,TX
LAS,ELP,WN,120446,8551,McCarran International Airport,Las Vegas,LAS,NV,El Paso International Airport,El Paso,ELP,TX
DAL,ELP,WN,57648,8551,Dallas Love Field,Dallas,DAL,TX,El Paso International Airport,El Paso,ELP,TX
HOU,ELP,WN,46467,8551,William P Hobby Airport,Houston,HOU,TX,El Paso International Airport,El Paso,ELP,TX
